t,x,y,psi,u,v,r,u_d,psi_deg,psi_d_deg,xte_m,F_port_kgf,F_stbd_kgf,tau_u_N,tau_r_Nm,tau_u_cmd_N,tau_r_cmd_Nm,wp_idx
5.538000000000305789e+01,2.669235636174770665e+00,1.498737868714840715e+01,3.136859911821983538e+00,7.694750046475532512e-01,3.157403211671439144e-06,2.793612840556346716e-06,7.999999999924661820e-01,1.797288338711792335e+02,1.797290825286559937e+02,1.262131285159284744e-02,5.988479367214001314e-01,5.988548035374350320e-01,1.174545157775930448e+01,1.346809229367806994e-05,1.174545157775930448e+01,1.346809229366441747e-05,2.000000000000000000e+00
5.540000000000306102e+01,2.653845837574387634e+00,1.498745146045922816e+01,3.136859967343261779e+00,7.695217898259247846e-01,3.117362569114033146e-06,2.758968092750008766e-06,7.999999999926530325e-01,1.797288370523141339e+02,1.797290826067209935e+02,1.254853954077184142e-02,5.989271124571757809e-01,5.989338930810051975e-01,1.174700362996100189e+01,1.329904093552159019e-05,1.174700362996100189e+01,1.329904093539677142e-05,2.000000000000000000e+00
5.542000000000306414e+01,2.638455104041300014e+00,1.498752423814129919e+01,3.136860022176176876e+00,7.695684993294757970e-01,3.077835918063362776e-06,2.724770788518654009e-06,7.999999999928352201e-01,1.797288401940087681e+02,1.797290826846213747e+02,1.247576185870080678e-02,5.990061755004967292e-01,5.990128710025401926e-01,1.174855348238900632e+01,1.313208902296025860e-05,1.174855348238900632e+01,1.313208902302869209e-05,2.000000000000000000e+00
5.544000000000306727e+01,2.623063437087634675e+00,1.498759702018767292e+01,3.136860076329614166e+00,7.696151332930131206e-01,3.038816638045335350e-06,2.691014630572192429e-06,7.999999999930129668e-01,1.797288432967721690e+02,1.797290827623587575e+02,1.240297981232707514e-02,5.990851260105681808e-01,5.990917374485975611e-01,1.175010113804182765e+01,1.296721175023662943e-05,1.175010113804182765e+01,1.296721175020983777e-05,2.000000000000000000e+00
5.546000000000307040e+01,2.607670838222825527e+00,1.498766980659141446e+01,3.136860129812333753e+00,7.696616918510643668e-01,3.000298191821260483e-06,2.657693420351925503e-06,7.999999999931861616e-01,1.797288463611062639e+02,1.797290828399347902e+02,1.233019340858554358e-02,5.991639641463319954e-01,5.991704925656307079e-01,1.175164659991436800e+01,1.280438462316624417e-05,1.175164659991436800e+01,1.280438462302662604e-05,2.000000000000000000e+00
5.548000000000307352e+01,2.592277308953617965e+00,1.498774259734559777e+01,3.136860182632973171e+00,7.697081751378783698e-01,2.962274124429146430e-06,2.624801057134677995e-06,7.999999999933549155e-01,1.797288493875059885e+02,1.797290829173510929e+02,1.225740265440222743e-02,5.992426900664754585e-01,5.992491364999861236e-01,1.175318987099798917e+01,1.264358343746607851e-05,1.175318987099798917e+01,1.264358343738827515e-05,2.000000000000000000e+00
5.550000000000307665e+01,2.576882850784075529e+00,1.498781539244330929e+01,3.136860234800048275e+00,7.697545832874260752e-01,2.924738062236742248e-06,2.592331536906111576e-06,7.999999999935196726e-01,1.797288523764592014e+02,1.797290829946092572e+02,1.218460755669070750e-02,5.993213039294289501e-01,5.993276693979039393e-01,1.175473095428048786e+01,1.248478428408361787e-05,1.175473095428048786e+01,1.248478428409690104e-05,2.000000000000000000e+00
5.552000000000307978e+01,2.561487465215585679e+00,1.498788819187764787e+01,3.136860286321956348e+00,7.698009164334013166e-01,2.887683712005873432e-06,2.560278951361671482e-06,7.999999999936802109e-01,1.797288553284470822e+02,1.797290830717109884e+02,1.211180812235213011e-02,5.993998058933656115e-01,5.994060914055143741e-01,1.175626985274606007e+01,1.232796354280196873e-05,1.175626985274606007e+01,1.232796354268511207e-05,2.000000000000000000e+00
5.554000000000308290e+01,2.546091153746863789e+00,1.498796099564172124e+01,3.136860337206977434e+00,7.698471747092214823e-01,2.851104859968112976e-06,2.528637486878683236e-06,7.999999999938367523e-01,1.797288582439440461e+02,1.797290831486578497e+02,1.203900435827875981e-02,5.994781961162083395e-01,5.994844026688358474e-01,1.175780656937535262e+01,1.217309786483156131e-05,1.175780656937535262e+01,1.217309786472529594e-05,2.000000000000000000e+00
5.556000000000308603e+01,2.530693917873960697e+00,1.498803380372864957e+01,3.136860387463275668e+00,7.698933582480280702e-01,2.814995370911089054e-06,2.497401423310518662e-06,7.999999999939894080e-01,1.797288611234178290e+02,1.797290832254515749e+02,1.196619627135042663e-02,5.995564747556273444e-01,5.995626033337754235e-01,1.175934110714544012e+01,1.202016417920503988e-05,1.175934110714544012e+01,1.202016417925586694e-05,2.000000000000000000e+00
